Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1746368478,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1746368479,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1746368480,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1746368481,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1746368482,4,,Aggregated,0.000000,0.000000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,1,0,3214.9965729913674,3214.9965729913674,3214.9965729913674,3214.9965729913674,153792.0
1746368483,5,,Aggregated,0.000000,0.000000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,1,0,3214.9965729913674,3214.9965729913674,3214.9965729913674,3214.9965729913674,153792.0
1746368484,6,,Aggregated,0.000000,0.000000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,1,0,3214.9965729913674,3214.9965729913674,3214.9965729913674,3214.9965729913674,153792.0
1746368485,7,,Aggregated,0.250000,0.000000,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,2,0,3214.9965729913674,4161.1766279966105,3214.9965729913674,5107.3566830018535,175138.0
1746368486,8,,Aggregated,0.250000,0.000000,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,2,0,3214.9965729913674,4161.1766279966105,3214.9965729913674,5107.3566830018535,175138.0
1746368487,9,,Aggregated,0.250000,0.000000,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,2,0,3214.9965729913674,4161.1766279966105,3214.9965729913674,5107.3566830018535,175138.0
1746368488,10,,Aggregated,0.285714,0.000000,5100,5100,7100,7100,7100,7100,7100,7100,7100,7100,7100,3,0,5100.0,5124.905695343235,3214.9965729913674,7052.363830036484,150524.0
1746368489,11,,Aggregated,0.285714,0.000000,5100,5100,7100,7100,7100,7100,7100,7100,7100,7100,7100,3,0,5100.0,5124.905695343235,3214.9965729913674,7052.363830036484,150524.0
1746368490,12,,Aggregated,0.285714,0.000000,5100,5100,7100,7100,7100,7100,7100,7100,7100,7100,7100,3,0,5100.0,5124.905695343235,3214.9965729913674,7052.363830036484,150524.0
1746368491,13,,Aggregated,0.300000,0.000000,7100,7100,9100,9100,9100,9100,9100,9100,9100,9100,9100,4,0,5100.0,6120.410236500902,3214.9965729913674,9106.923859973904,163394.0
1746368492,14,,Aggregated,0.300000,0.000000,7100,7100,9100,9100,9100,9100,9100,9100,9100,9100,9100,4,0,5100.0,6120.410236500902,3214.9965729913674,9106.923859973904,163394.0
1746368493,15,,Aggregated,0.300000,0.000000,7100,7100,9100,9100,9100,9100,9100,9100,9100,9100,9100,4,0,5100.0,6120.410236500902,3214.9965729913674,9106.923859973904,163394.0
1746368494,16,,Aggregated,0.400000,0.000000,7100,9100,9100,11000,11000,11000,11000,11000,11000,11000,11000,5,0,7100.0,7170.553006406408,3214.9965729913674,11371.12408602843,130948.8
1746368495,17,,Aggregated,0.400000,0.000000,7100,9100,9100,11000,11000,11000,11000,11000,11000,11000,11000,5,0,7100.0,7170.553006406408,3214.9965729913674,11371.12408602843,130948.8
1746368496,18,,Aggregated,0.400000,0.000000,9100,9100,11000,11000,14000,14000,14000,14000,14000,14000,14000,6,0,7100.0,8302.38908767933,3214.9965729913674,13961.569494043943,109309.83333333333
1746368497,19,,Aggregated,0.400000,0.000000,9100,9100,11000,11000,14000,14000,14000,14000,14000,14000,14000,6,0,7100.0,8302.38908767933,3214.9965729913674,13961.569494043943,109309.83333333333
1746368498,20,,Aggregated,0.400000,0.000000,9100,9100,11000,11000,14000,14000,14000,14000,14000,14000,14000,6,0,7100.0,8302.38908767933,3214.9965729913674,13961.569494043943,109309.83333333333
